customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,Customer_phone,Customer_since
1,Manuel,bholland@example.net,Bronze,4744,2026-02-01,AR,001-264-961-0888,2025-10-26
2,Timothy,yvettemiller@example.net,Bronze,4779,2026-02-01,Loyal,001-239-388-3387x6257,2024-11-21
3,Margaret,buckleymelinda@example.net,Gold,3445,2026-02-01,Loyal,+1-419-696-6457x1616,2024-06-25
4,Ebony,riley71@example.net,Silver,3304,2026-02-01,Loyal,(314)391-6872x2320,2024-12-20
5,Antonio,collinsmargaret@example.com,Bronze,4659,2026-02-01,Loyal,001-550-260-8519x46031,2026-01-22
6,Melissa,allenmarc@example.org,Bronze,3457,2026-02-01,New,596.953.7176x397,2024-12-17
7,Anthony,roberthernandez@example.net,Bronze,3696,2026-02-01,Loyal,001-941-634-3536x24507,2024-12-29
8,Kristin,whitneydiaz@example.org,Bronze,2160,2026-02-01,AR,+1-661-430-5334,2025-11-27
9,Sean,amanda25@example.org,Silver,854,2026-02-01,HS,+1-752-296-4638,2024-04-07
10,Erica,friedmantimothy@example.org,Bronze,3474,2026-02-01,AR,(781)215-7736x744,2024-05-14
11,Mario,bellerin@example.org,Bronze,1707,2026-02-01,AR,(510)709-3975x0429,2025-11-10
12,Daniel,nicholashunter@example.org,Platinum,4931,2026-02-01,New,(858)552-1394,2025-06-20
13,Linda,charlotte17@example.org,Silver,4218,2026-02-01,HS,619.480.8208x0715,2025-09-08
14,David,dustinestrada@example.com,Silver,2327,2026-02-01,HS,238-335-3912,2025-08-12
15,Erika,jessicajohnson@example.com,Silver,197,2026-02-01,AR,+1-994-477-7682x0803,2024-09-05
16,Victoria,gordonkimberly@example.com,Silver,608,2026-02-01,HS,001-267-795-6019x6299,2024-02-06
17,Paul,ianscott@example.org,Bronze,3397,2026-02-01,Loyal,266-413-1662,2025-08-16
18,Maurice,david83@example.org,Bronze,659,2026-02-01,Loyal,+1-252-863-1833,2024-07-15
19,Judy,robertstonya@example.org,Silver,1369,2026-02-01,New,001-714-892-3758x928,2025-04-16
20,Nicholas,alansteele@example.org,Gold,3219,2026-02-01,Loyal,718.303.1526x677,2025-07-06
21,James,grahampamela@example.com,Bronze,488,2026-02-01,HS,706-554-6400x91956,2024-08-23
22,Deborah,deborahwilliams@example.com,Bronze,2385,2026-02-01,Loyal,(867)438-7657x955,2024-06-04
23,David,stephanie77@example.com,Bronze,4061,2026-02-01,AR,419.391.2132,2024-10-09
24,Ashley,blackmonique@example.org,Bronze,623,2026-02-01,HS,706-620-7118,2025-04-05
25,Hayley,ricardobaker@example.net,Silver,4976,2026-02-01,AR,(711)891-0559x1525,2024-11-30
26,Melissa,chelseabeard@example.net,Platinum,3723,2026-02-01,HS,584.724.5555x911,2025-06-15
27,Michelle,garycollins@example.net,Gold,4090,2026-02-01,New,001-408-995-3087x7871,2025-02-11
28,David,quinnmichelle@example.com,Bronze,3170,2026-02-01,New,001-640-313-9211x071,2024-03-28
29,Ashley,sierra01@example.com,Silver,1154,2026-02-01,Loyal,564.713.1062x79268,2025-08-01
30,Melinda,younglindsey@example.org,Gold,3191,2026-02-01,HS,579-631-2479,2025-06-02
31,Daniel,higginsanna@example.net,Silver,4682,2026-02-01,HS,+1-662-352-6739x7416,2024-07-16
32,Andrew,nicholasvaldez@example.net,Bronze,1445,2026-02-01,Loyal,001-447-205-0439x4053,2024-11-27
33,Rachel,dramirez@example.org,Silver,3183,2026-02-01,AR,+1-223-850-4002x97828,2025-11-02
34,Connie,fosterkevin@example.net,Gold,2200,2026-02-01,HS,5173831946,2025-01-01
35,Louis,sperry@example.org,Bronze,4973,2026-02-01,AR,(363)809-6317x571,2024-06-14
36,Janet,nguyenheather@example.org,Bronze,3234,2026-02-01,Loyal,898-306-4461,2026-01-09
37,Mary,mooreashley@example.com,Platinum,4067,2026-02-01,HS,518.542.9452,2025-07-11
38,Amy,goodandrew@example.net,Bronze,4493,2026-02-01,HS,375-921-6768,2026-01-16
39,Sandra,mackenzie15@example.net,Bronze,1527,2026-02-01,Loyal,369-401-2888,2025-02-17
40,Brian,sparsons@example.org,Silver,1218,2026-02-01,HS,326.379.4283x4073,2024-03-13
41,Christopher,jhubbard@example.com,Bronze,2735,2026-02-01,Loyal,(773)488-0911x206,2025-10-19
42,Crystal,janicemaxwell@example.com,Silver,4565,2026-02-01,New,001-268-264-7332x90582,2024-08-21
43,Cathy,johnny83@example.com,Bronze,1693,2026-02-01,AR,(982)805-8431x16063,2025-02-08
44,Lisa,katelynglover@example.org,Platinum,562,2026-02-01,AR,(434)567-5187,2025-07-29
45,Alex,tammy53@example.com,Gold,225,2026-02-01,HS,814-266-0352,2024-09-23
46,Sarah,zmorrison@example.org,Silver,959,2026-02-01,HS,701.696.0641,2025-01-20
47,Amanda,robinhowell@example.com,Bronze,815,2026-02-01,New,416.669.7376x854,2025-03-17
48,Dave,nsexton@example.net,Silver,3120,2026-02-01,Loyal,610-553-3050,2025-09-14
49,Greg,conniebowen@example.net,Bronze,1243,2026-02-01,AR,(683)458-6264x2894,2024-09-09
50,Christina,robertsonjoel@example.net,Platinum,3444,2026-02-01,AR,658.260.1828x88240,2024-04-19
51,Benjamin,alexandercarter@example.org,Bronze,1060,2026-02-01,Loyal,(761)492-3296,2024-02-28
52,Randy,bwilson@example.org,Bronze,301,2026-02-01,HS,001-752-454-9605x23149,2024-02-21
53,Katie,martinezcraig@example.org,Silver,699,2026-02-01,HS,001-931-624-6832x87925,2024-02-09
54,Thomas,joshuaortiz@example.com,Bronze,2300,2026-02-01,HS,(242)301-4431x2996,2024-04-29
55,George,rickcarlson@example.net,Bronze,1184,2026-02-01,Loyal,(684)528-1470,2026-01-18
56,Matthew,usampson@example.com,Bronze,2065,2026-02-01,HS,(246)502-4602x21751,2025-12-17
57,Anthony,arnoldtanya@example.com,Bronze,569,2026-02-01,New,001-711-942-9751,2024-07-06
58,Kimberly,olong@example.org,Silver,3863,2026-02-01,AR,001-548-272-3557x66797,2024-11-28
59,James,robert91@example.com,Silver,2901,2026-02-01,New,9288150295,2025-01-22
60,John,katiecabrera@example.org,Bronze,154,2026-02-01,AR,969.523.1771,2024-11-13
61,Yvette,gonzalezstephanie@example.org,Gold,784,2026-02-01,Loyal,+1-200-663-1023x6416,2025-12-03
62,David,nortonlinda@example.com,Silver,4341,2026-02-01,Loyal,586.900.6907x778,2025-03-15
63,Michael,christinaweaver@example.org,Silver,2806,2026-02-01,AR,873.991.5115,2025-12-01
64,Marie,qmartinez@example.org,Gold,2455,2026-02-01,HS,001-919-247-7019x9245,2025-02-03
65,Ian,tina65@example.org,Bronze,2950,2026-02-01,HS,958-913-8352x378,2025-12-06
66,Ryan,aholland@example.com,Silver,4115,2026-02-01,HS,367-351-0827x1635,2025-11-23
67,Eric,richard34@example.net,Bronze,4495,2026-02-01,AR,3896867325,2025-01-07
68,Donna,jenniferreyes@example.org,Gold,1166,2026-02-01,Loyal,922.809.2347x25765,2024-08-07
69,Maria,tcrawford@example.org,Silver,2774,2026-02-01,New,+1-219-643-7916,2024-02-19
70,Jason,bsanford@example.net,Bronze,3736,2026-02-01,AR,+1-467-393-8652,2024-03-21
71,Brandon,michaelweaver@example.net,Silver,1148,2026-02-01,AR,(851)744-6843x68212,2025-03-26
72,Rebecca,ybarnett@example.com,Silver,1715,2026-02-01,AR,(424)917-5157,2025-01-24
73,Karen,stephanie70@example.com,Gold,2491,2026-02-01,HS,450.444.1106x87040,2024-07-29
74,William,uschneider@example.com,Silver,3124,2026-02-01,Loyal,543-671-4900x7077,2025-06-04
75,Corey,johnsonmichael@example.org,Bronze,4,2026-02-01,New,001-721-999-2186,2025-08-09
76,Krista,rochajustin@example.org,Bronze,876,2026-02-01,Loyal,(536)922-9180,2024-07-03
77,Seth,shaunadams@example.net,Silver,4142,2026-02-01,New,2679784209,2025-04-16
78,Michael,charlesjohnson@example.com,Silver,4364,2026-02-01,AR,(488)471-7510,2024-09-08
79,Benjamin,joseph36@example.org,Silver,1693,2026-02-01,New,001-443-727-0312x062,2025-08-25
80,Susan,david13@example.net,Silver,830,2026-02-01,New,001-733-329-4716x2553,2024-02-17
81,Chad,daniel03@example.com,Bronze,1369,2026-02-01,HS,+1-310-616-2227x068,2025-07-18
82,Sarah,nmcclain@example.net,Bronze,2838,2026-02-01,New,+1-459-355-8538x61062,2024-09-14
83,Anthony,jramirez@example.com,Silver,1012,2026-02-01,HS,945-985-9107,2024-03-28
84,Melanie,jasmine90@example.net,Bronze,512,2026-02-01,New,290-359-4899x71447,2025-11-23
85,Vincent,kristenolsen@example.com,Bronze,559,2026-02-01,HS,7487406890,2024-11-09
86,Elizabeth,igarrison@example.org,Silver,4992,2026-02-01,Loyal,4594636833,2024-03-21
87,Pamela,castrojimmy@example.org,Silver,4799,2026-02-01,New,001-753-449-3800,2024-03-05
88,Shawn,osbornecynthia@example.com,Bronze,2294,2026-02-01,New,(751)323-8456x087,2025-10-09
89,Donna,cindy92@example.net,Bronze,1679,2026-02-01,New,210.253.3659x50597,2025-01-27
90,Christian,megan54@example.net,Silver,2744,2026-02-01,HS,577-378-8164x8356,2024-12-20
91,Paul,parnold@example.com,Bronze,3118,2026-02-01,HS,001-546-984-6314x561,2024-08-11
92,Kirsten,coxlauren@example.org,Bronze,3059,2026-02-01,HS,892-616-0727,2024-11-29
93,Julie,proman@example.org,Bronze,2265,2026-02-01,AR,(353)413-0199x56807,2025-12-03
94,William,armstrongpamela@example.org,Bronze,4646,2026-02-01,Loyal,(584)649-2289x3902,2025-04-17
95,Matthew,christine94@example.net,Bronze,1757,2026-02-01,HS,001-945-909-9554x069,2024-11-05
96,Michael,omartucker@example.net,Bronze,2849,2026-02-01,Loyal,991-201-4535x2242,2024-06-22
97,Anthony,gregorylee@example.com,Bronze,3730,2026-02-01,AR,(842)710-0611x6914,2025-02-18
98,Michael,robertstrickland@example.org,Silver,1015,2026-02-01,HS,806-814-0120x71656,2025-08-24
99,Yolanda,ashley31@example.com,Silver,3087,2026-02-01,Loyal,(979)339-8267x1296,2024-03-12
100,Christopher,regina09@example.org,Gold,4592,2026-02-01,Loyal,3962288153,2025-03-22
101,Emily,rfrench@example.com,Silver,3546,2026-02-01,Loyal,001-229-591-7230x2786,2024-12-19
102,Troy,imalone@example.com,Silver,3746,2026-02-01,Loyal,831-256-0590x4264,2024-04-25
103,Matthew,garciajacob@example.com,Bronze,2738,2026-02-01,New,+1-920-292-7190x3896,2024-09-27
104,Karen,paynecaleb@example.net,Gold,3913,2026-02-01,New,+1-972-938-1773x7537,2024-09-24
105,Krista,cwise@example.net,Bronze,2444,2026-02-01,Loyal,(815)818-4427,2025-08-08
106,Christopher,ehenderson@example.com,Bronze,3969,2026-02-01,HS,878-408-0460,2024-09-04
107,April,meganaustin@example.com,Bronze,2082,2026-02-01,New,+1-837-984-3937x192,2024-04-16
108,Sarah,gomezsarah@example.org,Bronze,775,2026-02-01,HS,(390)742-4863x6754,2025-08-19
109,Abigail,juanyoung@example.org,Gold,1625,2026-02-01,AR,262.926.2108x5810,2025-02-07
110,Sylvia,pearsonnicole@example.com,Gold,616,2026-02-01,New,970.751.1867,2024-05-10
111,Timothy,christopherwood@example.org,Bronze,1516,2026-02-01,New,882-697-7681x498,2024-03-05
112,Suzanne,grahamamanda@example.com,Gold,728,2026-02-01,HS,912-859-2942x300,2024-06-02
113,Wesley,shannonhall@example.com,Platinum,675,2026-02-01,AR,+1-805-589-1315x823,2024-10-12
114,Cody,lauren39@example.com,Bronze,2967,2026-02-01,Loyal,(204)854-5198,2024-09-10
115,Paul,caitlinjones@example.net,Silver,1122,2026-02-01,Loyal,910-585-6621x7244,2024-12-16
116,Lauren,pamela47@example.net,Bronze,2143,2026-02-01,Loyal,(566)496-7315,2024-02-11
117,Sherri,hwalker@example.net,Gold,4132,2026-02-01,Loyal,+1-787-220-5381x6719,2025-07-07
118,Joseph,rbradford@example.net,Bronze,2326,2026-02-01,HS,001-351-576-3120x435,2025-05-08
119,Christopher,briannacollier@example.org,Bronze,3952,2026-02-01,AR,406.837.9990,2025-03-24
120,Dawn,bmartin@example.net,Bronze,728,2026-02-01,AR,418-314-9781x797,2025-05-13
121,Richard,pjohnson@example.net,Bronze,395,2026-02-01,HS,+1-321-208-2837,2025-06-08
122,Andrew,johnsonrachael@example.com,Gold,4171,2026-02-01,HS,700-722-9341x663,2024-12-01
123,David,jasmine94@example.net,Bronze,717,2026-02-01,New,(801)764-8906,2024-05-14
124,Kimberly,kayleegarza@example.org,Platinum,4946,2026-02-01,AR,(456)535-4578,2024-04-04
125,Marilyn,sanchezleslie@example.net,Silver,4980,2026-02-01,HS,001-354-961-8621x283,2025-02-13
126,Ruth,brendanjones@example.org,Bronze,2938,2026-02-01,HS,+1-230-299-8605x140,2024-10-21
127,Tyler,mccarthyjohn@example.com,Silver,3222,2026-02-01,Loyal,(848)818-8969,2025-03-23
128,Lydia,alyssa23@example.net,Silver,2156,2026-02-01,HS,(877)873-0309x2697,2025-06-15
129,Thomas,arodriguez@example.com,Bronze,2982,2026-02-01,AR,(283)459-4220x337,2025-02-18
